ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE
10,20,200,15,1,10,1,33819.51679999988,91.48936170212765,358.6590467700259,-2916.1537305555585,423,0.12299044560373623,2
10,20,200,15,1,100,1,33819.51679999988,91.48936170212765,358.6590467700259,-2916.1537305555585,423,0.12299044560373623,2
10,20,200,15,2,10,1,8243.14300000017,89.59276018099548,372.48459974747544,-2848.209032608697,221,0.13077853327580874,2
10,20,200,15,2,100,1,8243.14300000017,89.59276018099548,372.48459974747544,-2848.209032608697,221,0.13077853327580874,2
10,30,75,3,1,10,1,26833.90780000005,73.28605200945626,487.54991064516247,-1100.0580929203563,423,0.4432037851299739,5
10,30,75,3,1,100,1,26833.90780000005,73.28605200945626,487.54991064516247,-1100.0580929203563,423,0.4432037851299739,5
10,30,75,3,2,10,1,15511.118800000295,74.6606334841629,503.1408166666701,-1205.484213392862,221,0.4173765289307017,5
10,30,75,3,2,100,1,15511.118800000295,74.6606334841629,503.1408166666701,-1205.484213392862,221,0.4173765289307017,5
10,30,75,5,1,10,1,26833.90780000005,73.28605200945626,487.54991064516247,-1100.0580929203563,423,0.4432037851299739,5
10,30,75,5,1,100,1,26833.90780000005,73.28605200945626,487.54991064516247,-1100.0580929203563,423,0.4432037851299739,5
10,30,75,5,2,10,1,15511.118800000295,74.6606334841629,503.1408166666701,-1205.484213392862,221,0.4173765289307017,5
10,30,75,5,2,100,1,15511.118800000295,74.6606334841629,503.1408166666701,-1205.484213392862,221,0.4173765289307017,5
10,30,75,7,1,10,1,26833.90780000005,73.28605200945626,487.54991064516247,-1100.0580929203563,423,0.4432037851299739,5
10,30,75,7,1,100,1,26833.90780000005,73.28605200945626,487.54991064516247,-1100.0580929203563,423,0.4432037851299739,5
10,30,75,7,2,10,1,15511.118800000295,74.6606334841629,503.1408166666701,-1205.484213392862,221,0.4173765289307017,5
10,30,75,7,2,100,1,15511.118800000295,74.6606334841629,503.1408166666701,-1205.484213392862,221,0.4173765289307017,5
10,30,75,10,1,10,1,26833.90780000005,73.28605200945626,487.54991064516247,-1100.0580929203563,423,0.4432037851299739,5
10,30,75,10,1,100,1,26833.90780000005,73.28605200945626,487.54991064516247,-1100.0580929203563,423,0.4432037851299739,5
10,30,75,10,2,10,1,15511.118800000295,74.6606334841629,503.1408166666701,-1205.484213392862,221,0.4173765289307017,5
10,30,75,10,2,100,1,15511.118800000295,74.6606334841629,503.1408166666701,-1205.484213392862,221,0.4173765289307017,5
10,30,75,12,1,10,1,26833.90780000005,73.28605200945626,487.54991064516247,-1100.0580929203563,423,0.4432037851299739,5
10,30,75,12,1,100,1,26833.90780000005,73.28605200945626,487.54991064516247,-1100.0580929203563,423,0.4432037851299739,5
10,30,75,12,2,10,1,15511.118800000295,74.6606334841629,503.1408166666701,-1205.484213392862,221,0.4173765289307017,5
10,30,75,12,2,100,1,15511.118800000295,74.6606334841629,503.1408166666701,-1205.484213392862,221,0.4173765289307017,5
10,30,75,15,1,10,1,26833.90780000005,73.28605200945626,487.54991064516247,-1100.0580929203563,423,0.4432037851299739,5
10,30,75,15,1,100,1,26833.90780000005,73.28605200945626,487.54991064516247,-1100.0580929203563,423,0.4432037851299739,5
10,30,75,15,2,10,1,15511.118800000295,74.6606334841629,503.1408166666701,-1205.484213392862,221,0.4173765289307017,5
10,30,75,15,2,100,1,15511.118800000295,74.6606334841629,503.1408166666701,-1205.484213392862,221,0.4173765289307017,5
10,30,100,3,1,10,1,41937.46385000024,79.66903073286052,485.82459955489725,-1416.1096069767448,423,0.34306991292297295,4
10,30,100,3,1,100,1,41937.46385000024,79.66903073286052,485.82459955489725,-1416.1096069767448,423,0.34306991292297295,4
10,30,100,3,2,10,1,25988.89145000041,81.44796380090497,497.9879091666692,-1552.4129804878062,221,0.320783139168412,2
10,30,100,3,2,100,1,25988.89145000041,81.44796380090497,497.9879091666692,-1552.4129804878062,221,0.320783139168412,2
10,30,100,5,1,10,1,41937.46385000024,79.66903073286052,485.82459955489725,-1416.1096069767448,423,0.34306991292297295,4
10,30,100,5,1,100,1,41937.46385000024,79.66903073286052,485.82459955489725,-1416.1096069767448,423,0.34306991292297295,4
10,30,100,5,2,10,1,25988.89145000041,81.44796380090497,497.9879091666692,-1552.4129804878062,221,0.320783139168412,2
10,30,100,5,2,100,1,25988.89145000041,81.44796380090497,497.9879091666692,-1552.4129804878062,221,0.320783139168412,2
10,30,100,7,1,10,1,41937.46385000024,79.66903073286052,485.82459955489725,-1416.1096069767448,423,0.34306991292297295,4
10,30,100,7,1,100,1,41937.46385000024,79.66903073286052,485.82459955489725,-1416.1096069767448,423,0.34306991292297295,4
10,30,100,7,2,10,1,25988.89145000041,81.44796380090497,497.9879091666692,-1552.4129804878062,221,0.320783139168412,2
10,30,100,7,2,100,1,25988.89145000041,81.44796380090497,497.9879091666692,-1552.4129804878062,221,0.320783139168412,2
10,30,100,10,1,10,1,41937.46385000024,79.66903073286052,485.82459955489725,-1416.1096069767448,423,0.34306991292297295,4
10,30,100,10,1,100,1,41937.46385000024,79.66903073286052,485.82459955489725,-1416.1096069767448,423,0.34306991292297295,4
10,30,100,10,2,10,1,25988.89145000041,81.44796380090497,497.9879091666692,-1552.4129804878062,221,0.320783139168412,2
10,30,100,10,2,100,1,25988.89145000041,81.44796380090497,497.9879091666692,-1552.4129804878062,221,0.320783139168412,2
10,30,100,12,1,10,1,41937.46385000024,79.66903073286052,485.82459955489725,-1416.1096069767448,423,0.34306991292297295,4
10,30,100,12,1,100,1,41937.46385000024,79.66903073286052,485.82459955489725,-1416.1096069767448,423,0.34306991292297295,4
10,30,100,12,2,10,1,25988.89145000041,81.44796380090497,497.9879091666692,-1552.4129804878062,221,0.320783139168412,2
10,30,100,12,2,100,1,25988.89145000041,81.44796380090497,497.9879091666692,-1552.4129804878062,221,0.320783139168412,2
10,30,100,15,1,10,1,41937.46385000024,79.66903073286052,485.82459955489725,-1416.1096069767448,423,0.34306991292297295,4
10,30,100,15,1,100,1,41937.46385000024,79.66903073286052,485.82459955489725,-1416.1096069767448,423,0.34306991292297295,4
10,30,100,15,2,10,1,25988.89145000041,81.44796380090497,497.9879091666692,-1552.4129804878062,221,0.320783139168412,2
10,30,100,15,2,100,1,25988.89145000041,81.44796380090497,497.9879091666692,-1552.4129804878062,221,0.320783139168412,2
10,30,125,3,1,10,1,36674.61770000036,82.03309692671394,484.9172848703179,-1731.4694756578929,423,0.28006112246712733,4
10,30,125,3,1,100,1,36674.61770000036,82.03309692671394,484.9172848703179,-1731.4694756578929,423,0.28006112246712733,4
10,30,125,3,2,10,1,20203.378050000523,82.80542986425338,497.43026147541246,-1863.8515736842098,221,0.2668829795776922,2
10,30,125,3,2,100,1,20203.378050000523,82.80542986425338,497.43026147541246,-1863.8515736842098,221,0.2668829795776922,2
10,30,125,5,1,10,1,36674.61770000036,82.03309692671394,484.9172848703179,-1731.4694756578929,423,0.28006112246712733,4
10,30,125,5,1,100,1,36674.61770000036,82.03309692671394,484.9172848703179,-1731.4694756578929,423,0.28006112246712733,4
10,30,125,5,2,10,1,20203.378050000523,82.80542986425338,497.43026147541246,-1863.8515736842098,221,0.2668829795776922,2
10,30,125,5,2,100,1,20203.378050000523,82.80542986425338,497.43026147541246,-1863.8515736842098,221,0.2668829795776922,2
10,30,125,7,1,10,1,36674.61770000036,82.03309692671394,484.9172848703179,-1731.4694756578929,423,0.28006112246712733,4
10,30,125,7,1,100,1,36674.61770000036,82.03309692671394,484.9172848703179,-1731.4694756578929,423,0.28006112246712733,4
10,30,125,7,2,10,1,20203.378050000523,82.80542986425338,497.43026147541246,-1863.8515736842098,221,0.2668829795776922,2
10,30,125,7,2,100,1,20203.378050000523,82.80542986425338,497.43026147541246,-1863.8515736842098,221,0.2668829795776922,2
10,30,125,10,1,10,1,36674.61770000036,82.03309692671394,484.9172848703179,-1731.4694756578929,423,0.28006112246712733,4
10,30,125,10,1,100,1,36674.61770000036,82.03309692671394,484.9172848703179,-1731.4694756578929,423,0.28006112246712733,4
10,30,125,10,2,10,1,20203.378050000523,82.80542986425338,497.43026147541246,-1863.8515736842098,221,0.2668829795776922,2
10,30,125,10,2,100,1,20203.378050000523,82.80542986425338,497.43026147541246,-1863.8515736842098,221,0.2668829795776922,2
10,30,125,12,1,10,1,36674.61770000036,82.03309692671394,484.9172848703179,-1731.4694756578929,423,0.28006112246712733,4
10,30,125,12,1,100,1,36674.61770000036,82.03309692671394,484.9172848703179,-1731.4694756578929,423,0.28006112246712733,4
10,30,125,12,2,10,1,20203.378050000523,82.80542986425338,497.43026147541246,-1863.8515736842098,221,0.2668829795776922,2
10,30,125,12,2,100,1,20203.378050000523,82.80542986425338,497.43026147541246,-1863.8515736842098,221,0.2668829795776922,2
10,30,125,15,1,10,1,36674.61770000036,82.03309692671394,484.9172848703179,-1731.4694756578929,423,0.28006112246712733,4
10,30,125,15,1,100,1,36674.61770000036,82.03309692671394,484.9172848703179,-1731.4694756578929,423,0.28006112246712733,4
10,30,125,15,2,10,1,20203.378050000523,82.80542986425338,497.43026147541246,-1863.8515736842098,221,0.2668829795776922,2
10,30,125,15,2,100,1,20203.378050000523,82.80542986425338,497.43026147541246,-1863.8515736842098,221,0.2668829795776922,2
10,30,150,3,1,10,1,33578.16220000039,84.16075650118204,485.16508693820333,-2076.7255037313416,423,0.23362022860820386,3
10,30,150,3,1,100,1,33578.16220000039,84.16075650118204,485.16508693820333,-2076.7255037313416,423,0.23362022860820386,3
10,30,150,3,2,10,1,14821.427250000539,84.16289592760181,496.6958583333363,-2216.1143542857158,221,0.22412916435146155,2
10,30,150,3,2,100,1,14821.427250000539,84.16289592760181,496.6958583333363,-2216.1143542857158,221,0.22412916435146155,2
