ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,SCORE
100,800,50,1,2,100,1,38012.5,26.451612903225808,3396.0365853658536,-887.938596491228,155,3.8246299899403047,0.1260883987063604
100,1600,150,1,2,100,1,37950.0,44.516129032258064,3109.6014492753625,-2053.6337209302324,155,1.5141947746489133,0.12588108466705367
10,400,150,2,2,100,1,37412.5,32.82442748091603,5323.546511627907,-2176.1363636363635,131,2.446329467484365,0.12409818392901567
25,1600,25,2,2,100,1,37087.5,10.948905109489052,7088.333333333333,-567.5204918032787,137,12.490004212553409,0.12302015092462061
75,200,10,1,2,100,1,37087.5,18.666666666666668,3041.964285714286,-394.15983606557376,150,7.717590701474248,0.12302015092462061
10,800,175,2,2,100,1,37062.5,30.53435114503817,6706.875,-2540.796703296703,131,2.6396740011893822,0.12293722530889792
75,1600,150,2,5,100,1,37012.5,31.48148148148148,6842.64705882353,-2143.5810810810813,54,3.192156862745098,0.12277137407745252
25,50,150,1,2,100,1,36725.0,76.64233576642336,1005.4761904761904,-2151.5625,137,0.4673237196113013,0.12181772949664152
25,50,150,2,2,100,1,36725.0,76.64233576642336,1005.4761904761904,-2151.5625,137,0.4673237196113013,0.12181772949664152
10,1600,175,1,2,100,1,36562.5,41.98473282442748,4183.181818181818,-2546.217105263158,131,1.6429006817741394,0.12127871299444398
100,1600,125,1,2,100,1,36137.5,40.0,3235.483870967742,-1768.4139784946235,155,1.8295964125560535,0.11986897752715814
75,12800,10,2,2,100,1,36050.0,12.0,5162.5,-430.8712121212121,150,11.98153846153846,0.11957873787212871
75,6400,10,2,2,100,1,36050.0,12.0,5162.5,-430.8712121212121,150,11.98153846153846,0.11957873787212871
75,3200,10,2,2,100,1,36050.0,12.0,5162.5,-430.8712121212121,150,11.98153846153846,0.11957873787212871
50,1600,25,1,1,100,1,35850.0,17.216117216117215,3585.372340425532,-587.0022123893805,273,6.107936673409368,0.11891533294634712
75,1600,50,2,2,100,1,35475.0,15.333333333333332,6461.95652173913,-890.9448818897638,150,7.252925128244538,0.11767144871050668
