ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,SCORE
25,12800,125,1,1,100,1,295662.5,40.55299539170507,6216.903409090909,-1949.031007751938,217,3.189740637457402,0.980719794344473
100,12800,150,1,2,100,1,295437.5,52.5,6742.857142857143,-2269.5175438596493,120,2.9710531038195547,0.9799734638029688
100,12800,125,1,2,100,1,295200.0,48.7603305785124,7123.728813559322,-2017.741935483871,121,3.530545055481039,0.9791856704536032
50,12800,25,1,1,100,1,293575.0,17.29957805907173,10140.548780487805,-623.405612244898,237,16.26637390056765,0.9737955054316279
50,6400,175,1,1,100,1,293125.0,50.212765957446805,5032.4152542372885,-2570.08547008547,235,1.9580731118914625,0.9723028443486192
25,12800,100,1,1,100,1,292812.5,35.321100917431195,6723.214285714285,-1594.8581560283687,218,4.215556261415072,0.9712662741520856
100,12800,75,1,2,100,1,291462.5,35.53719008264463,9133.43023255814,-1298.3974358974358,121,7.0343871452928655,0.96678829090306
50,6400,100,1,1,100,1,291450.0,37.81512605042017,5839.444444444444,-1581.7567567567569,238,3.6917461673548817,0.9667468280951986
100,12800,100,1,2,100,1,290787.5,41.32231404958678,8101.0,-1609.3309859154929,121,5.033768734274149,0.9645492992785472
25,12800,75,1,1,100,1,288550.0,30.73394495412844,7329.850746268657,-1341.390728476821,218,5.464366638788285,0.9571274566713658
50,6400,75,1,1,100,1,285250.0,32.35294117647059,6416.558441558442,-1297.0496894409937,238,4.947041346059663,0.9461812753959699
50,6400,150,1,1,100,1,285025.0,45.95744680851064,5271.180555555556,-2238.287401574803,235,2.3550061318519173,0.9454349448544656
50,6400,125,1,1,100,1,284225.0,42.19409282700422,5500.5,-1940.3284671532847,237,2.834829304993887,0.9427813251513393
75,12800,25,1,1,100,1,284012.5,19.548872180451127,8156.7307692307695,-654.8481308411215,266,12.455912119278455,0.9420764574176963
50,6400,200,1,1,100,1,283175.0,52.34042553191489,4924.79674796748,-2880.1339285714284,235,1.7099193544830125,0.9392984492909859
75,6400,50,1,1,100,1,266462.5,25.563909774436087,6664.154411764706,-942.929292929293,266,7.067501732883834,0.8838626751803632
75,3200,10,1,1,100,1,259775.0,16.10486891385768,8297.96511627907,-433.203125,267,19.15490594921048,0.8616800729745419
100,12800,50,1,1,100,1,251112.5,27.39273927392739,5537.951807228916,-947.8977272727273,303,5.842351603861951,0.8329463471266274
