ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK
10,25,10,2,1,10,1,6662.5,23.076923076923077,654.1666666666666,-204.62121212121212,858,3.1969640873750462
10,25,10,2,2,10,1,4475.0,22.93144208037825,651.8041237113403,-207.1319018404908,846,3.1468070245079143
10,25,10,2,5,10,1,6525.0,22.613065326633166,651.1111111111111,-206.12824675324674,796,3.15876703638074
10,25,10,2,10,10,1,8062.5,23.893805309734514,640.2777777777778,-215.06782945736435,678,2.9770969437561012
10,25,25,1,1,10,1,-1050.0,25.64102564102564,647.7272727272727,-238.6755485893417,858,2.713840091938926
10,25,25,1,2,10,1,-3237.5,25.53191489361702,645.4861111111111,-241.70634920634922,846,2.6705384994253816
10,25,25,1,5,10,1,-750.0,25.125628140703515,644.875,-241.86241610738256,796,2.6662885882761014
10,25,25,1,10,10,1,1200.0,25.958702064896755,639.0625,-254.03386454183266,678,2.5156586943736525
10,25,25,2,1,10,1,-1050.0,25.64102564102564,647.7272727272727,-238.6755485893417,858,2.713840091938926
10,25,25,2,2,10,1,-3237.5,25.53191489361702,645.4861111111111,-241.70634920634922,846,2.6705384994253816
10,25,25,2,5,10,1,-750.0,25.125628140703515,644.875,-241.86241610738256,796,2.6662885882761014
10,25,25,2,10,10,1,1200.0,25.958702064896755,639.0625,-254.03386454183266,678,2.5156586943736525
10,25,50,1,1,10,1,7337.5,30.303030303030305,639.4230769230769,-287.6254180602007,858,2.223110465116279
10,25,50,1,2,10,1,3562.5,30.260047281323878,637.40234375,-291.52542372881356,846,2.186438272165698
10,25,50,1,5,10,1,4525.0,29.899497487437188,638.7605042016806,-295.11648745519716,796,2.164435168328755
10,25,50,1,10,10,1,8887.5,30.973451327433626,625.1190476190476,-306.0897435897436,678,2.042273747195213
10,25,50,2,1,10,1,7337.5,30.303030303030305,639.4230769230769,-287.6254180602007,858,2.223110465116279
10,25,50,2,2,10,1,3562.5,30.260047281323878,637.40234375,-291.52542372881356,846,2.186438272165698
10,25,50,2,5,10,1,4525.0,29.899497487437188,638.7605042016806,-295.11648745519716,796,2.164435168328755
10,25,50,2,10,10,1,8887.5,30.973451327433626,625.1190476190476,-306.0897435897436,678,2.042273747195213
10,25,75,1,1,10,1,10687.5,34.4988344988345,631.418918918919,-303.69217081850536,858,2.0791412475900537
10,25,75,1,2,10,1,7625.0,34.515366430260045,629.5376712328767,-308.07761732851986,846,2.0434385227069796
10,25,75,1,5,10,1,6725.0,34.17085427135678,631.0661764705883,-313.3587786259542,796,2.013877445009673
10,25,75,1,10,10,1,9037.5,34.80825958702065,623.4110169491526,-328.1674208144796,678,1.8996736952190656
10,25,75,2,1,10,1,10687.5,34.4988344988345,631.418918918919,-303.69217081850536,858,2.0791412475900537
10,25,75,2,2,10,1,7625.0,34.515366430260045,629.5376712328767,-308.07761732851986,846,2.0434385227069796
10,25,75,2,5,10,1,6725.0,34.17085427135678,631.0661764705883,-313.3587786259542,796,2.013877445009673
10,25,75,2,10,10,1,9037.5,34.80825958702065,623.4110169491526,-328.1674208144796,678,1.8996736952190656
10,25,100,1,1,10,1,12037.5,36.5967365967366,630.7324840764331,-334.1452205882353,858,1.8875998973323043
10,25,100,1,2,10,1,10037.5,36.64302600472813,628.9516129032259,-339.1324626865672,846,1.854589819920941
10,25,100,1,5,10,1,8350.0,36.18090452261307,626.6493055555555,-340.6988188976378,796,1.8393057762370197
10,25,100,1,10,10,1,14900.0,37.16814159292036,618.8492063492064,-355.7511737089202,678,1.7395563306153872
10,25,100,2,1,10,1,12037.5,36.5967365967366,630.7324840764331,-334.1452205882353,858,1.8875998973323043
10,25,100,2,2,10,1,10037.5,36.64302600472813,628.9516129032259,-339.1324626865672,846,1.854589819920941
10,25,100,2,5,10,1,8350.0,36.18090452261307,626.6493055555555,-340.6988188976378,796,1.8393057762370197
10,25,100,2,10,10,1,14900.0,37.16814159292036,618.8492063492064,-355.7511737089202,678,1.7395563306153872
10,25,125,1,1,10,1,7050.0,37.995337995338,627.9907975460122,-330.78007518796994,858,1.8985145861314305
10,25,125,1,2,10,1,5437.5,38.061465721040186,626.2422360248447,-335.83015267175574,846,1.8647588104959147
10,25,125,1,5,10,1,3750.0,37.68844221105528,623.8333333333334,-337.24798387096774,796,1.8497763164449759
10,25,125,1,10,10,1,5875.0,38.05309734513274,616.3759689922481,-363.2142857142857,678,1.6970036511094342
10,25,125,2,1,10,1,7050.0,37.995337995338,627.9907975460122,-330.78007518796994,858,1.8985145861314305
10,25,125,2,2,10,1,5437.5,38.061465721040186,626.2422360248447,-335.83015267175574,846,1.8647588104959147
10,25,125,2,5,10,1,3750.0,37.68844221105528,623.8333333333334,-337.24798387096774,796,1.8497763164449759
10,25,125,2,10,10,1,5875.0,38.05309734513274,616.3759689922481,-363.2142857142857,678,1.6970036511094342
10,25,150,1,1,10,1,3400.0,39.62703962703963,634.4117647058823,-356.1293436293436,858,1.7814082890237
10,25,150,1,2,10,1,3000.0,39.71631205673759,632.8125,-361.7156862745098,846,1.749474861092289
10,25,150,1,5,10,1,-325.0,39.44723618090452,630.9713375796179,-362.9668049792531,796,1.7383720189389873
10,25,150,1,10,10,1,3787.5,40.117994100294986,625.0,-386.69950738916253,678,1.6162420382165605
10,25,150,2,1,10,1,3400.0,39.62703962703963,634.4117647058823,-356.1293436293436,858,1.7814082890237
10,25,150,2,2,10,1,3000.0,39.71631205673759,632.8125,-361.7156862745098,846,1.749474861092289
10,25,150,2,5,10,1,-325.0,39.44723618090452,630.9713375796179,-362.9668049792531,796,1.7383720189389873
10,25,150,2,10,10,1,3787.5,40.117994100294986,625.0,-386.69950738916253,678,1.6162420382165605
10,25,175,1,1,10,1,17787.5,41.25874125874126,631.7090395480226,-343.6507936507937,858,1.8382295377148
10,25,175,1,2,10,1,17387.5,41.371158392434985,630.1428571428571,-349.19354838709677,846,1.8045661497855492
10,25,175,1,5,10,1,11837.5,41.20603015075377,628.2012195121952,-349.732905982906,796,1.796231377618496
10,25,175,1,10,10,1,11887.5,41.88790560471977,624.2077464788732,-372.7791878172589,678,1.6744704824692838
10,25,175,2,1,10,1,17787.5,41.25874125874126,631.7090395480226,-343.6507936507937,858,1.8382295377148
10,25,175,2,2,10,1,17387.5,41.371158392434985,630.1428571428571,-349.19354838709677,846,1.8045661497855492
10,25,175,2,5,10,1,11837.5,41.20603015075377,628.2012195121952,-349.732905982906,796,1.796231377618496
10,25,175,2,10,10,1,11887.5,41.88790560471977,624.2077464788732,-372.7791878172589,678,1.6744704824692838
10,25,200,1,1,10,1,10487.5,42.19114219114219,638.1906077348066,-352.116935483871,858,1.8124394012966736
10,25,200,1,2,10,1,11150.0,42.31678486997636,636.731843575419,-357.8893442622951,846,1.7791304876312881
10,25,200,1,5,10,1,5537.5,42.211055276381906,635.2678571428571,-355.5978260869565,796,1.7864784611689701
10,25,200,1,10,10,1,7512.5,43.067846607669615,632.4486301369863,-376.55440414507774,678,1.6795677415402592
10,25,200,2,1,10,1,10487.5,42.19114219114219,638.1906077348066,-352.116935483871,858,1.8124394012966736
10,25,200,2,2,10,1,11150.0,42.31678486997636,636.731843575419,-357.8893442622951,846,1.7791304876312881
10,25,200,2,5,10,1,5537.5,42.211055276381906,635.2678571428571,-355.5978260869565,796,1.7864784611689701
10,25,200,2,10,10,1,7512.5,43.067846607669615,632.4486301369863,-376.55440414507774,678,1.6795677415402592
10,50,10,1,1,10,1,19962.5,18.414918414918414,923.5759493670886,-215.85714285714286,858,4.2786443716542815
10,50,10,1,2,10,1,17775.0,18.203309692671397,927.5974025974026,-218.35260115606937,846,4.248162823278641
10,50,10,1,5,10,1,22762.5,17.839195979899497,939.7887323943662,-216.43730886850153,796,4.342082875209576
10,50,10,1,10,10,1,22387.5,18.58407079646018,949.8015873015873,-226.44927536231884,678,4.19432380952381
10,50,10,2,1,10,1,19962.5,18.414918414918414,923.5759493670886,-215.85714285714286,858,4.2786443716542815
10,50,10,2,2,10,1,17775.0,18.203309692671397,927.5974025974026,-218.35260115606937,846,4.248162823278641
10,50,10,2,5,10,1,22762.5,17.839195979899497,939.7887323943662,-216.43730886850153,796,4.342082875209576
10,50,10,2,10,10,1,22387.5,18.58407079646018,949.8015873015873,-226.44927536231884,678,4.19432380952381
10,50,25,1,1,10,1,6812.5,20.745920745920746,933.4269662921348,-268.75,858,3.4732166187614317
10,50,25,1,2,10,1,4625.0,20.56737588652482,937.2126436781609,-271.94940476190476,846,3.446275767724893
10,50,25,1,5,10,1,9075.0,20.100502512562816,943.28125,-272.248427672956,796,3.4647812590239675
10,50,25,1,10,10,1,11025.0,20.64896755162242,942.1428571428571,-283.41078066914497,678,3.3243014077249198
10,50,25,2,1,10,1,6812.5,20.745920745920746,933.4269662921348,-268.75,858,3.4732166187614317
10,50,25,2,2,10,1,4625.0,20.56737588652482,937.2126436781609,-271.94940476190476,846,3.446275767724893
10,50,25,2,5,10,1,9075.0,20.100502512562816,943.28125,-272.248427672956,796,3.4647812590239675
10,50,25,2,10,10,1,11025.0,20.64896755162242,942.1428571428571,-283.41078066914497,678,3.3243014077249198
10,50,50,1,1,10,1,6412.5,24.708624708624708,921.3443396226415,-332.5077399380805,858,2.7708959189768456
